TOP.65635186.000b3c74	START
TOP.65635186.000b3c74	user_options->spin_damp	0
TOP.65635186.000b3c74	user_options->status	1
TOP.65635186.000b3c74	user_options->status_json	0
TOP.65635186.000b3c74	user_options->status_timer	10
TOP.65635186.000b3c74	user_options->stdout_flag	0
TOP.65635186.000b3c74	user_options->usage	0
TOP.65635186.000b3c74	user_options->username	0
TOP.65635186.000b3c74	user_options->veracrypt_pim_start	485
TOP.65635186.000b3c74	user_options->veracrypt_pim_stop	485
TOP.65635186.000b3c74	user_options->version	0
TOP.65635186.000b3c74	user_options->workload_profile	2
TOP.65635186.000b3c74	user_options->brain_client	0
TOP.65635186.000b3c74	user_options->brain_client_features	2
TOP.65635186.000b3c74	user_options->brain_server	0
TOP.65635186.000b3c74	user_options->brain_server_timer	300
TOP.65635186.000b3c74	user_options->brain_port	6863
TOP.65635186.000b3c74	user_options->brain_session	0
TOP.656351d7.000e5cbc	START
TOP.656351d7.000e5cbc	folder_config->cwd	C:\Users\vtimashkov\Desktop\Kerberoasting\examples\hashcat-6.2.6
TOP.656351d7.000e5cbc	folder_config->install_dir	.
TOP.656351d7.000e5cbc	folder_config->profile_dir	.
TOP.656351d7.000e5cbc	folder_config->session_dir	.
TOP.656351d7.000e5cbc	folder_config->shared_dir	.
TOP.656351d7.000e5cbc	user_options->encoding_from	utf-8
TOP.656351d7.000e5cbc	user_options->encoding_to	utf-8
TOP.656351d7.000e5cbc	user_options->rule_buf_l	:
TOP.656351d7.000e5cbc	user_options->rule_buf_r	:
TOP.656351d7.000e5cbc	user_options->session	hashcat
TOP.656351d7.000e5cbc	user_options->separator	:
TOP.656351d7.000e5cbc	user_options->limit	0
TOP.656351d7.000e5cbc	user_options->skip	0
TOP.656351d7.000e5cbc	user_options->attack_mode	0
TOP.656351d7.000e5cbc	user_options->benchmark	0
TOP.656351d7.000e5cbc	user_options->benchmark_all	0
TOP.656351d7.000e5cbc	user_options->bitmap_max	18
TOP.656351d7.000e5cbc	user_options->bitmap_min	16
TOP.656351d7.000e5cbc	user_options->debug_mode	0
TOP.656351d7.000e5cbc	user_options->hash_info	0
TOP.656351d7.000e5cbc	user_options->force	0
TOP.656351d7.000e5cbc	user_options->hwmon_disable	0
TOP.656351d7.000e5cbc	user_options->hwmon_temp_abort	90
TOP.656351d7.000e5cbc	user_options->hash_mode	0
TOP.656351d7.000e5cbc	user_options->hex_charset	0
TOP.656351d7.000e5cbc	user_options->hex_salt	0
TOP.656351d7.000e5cbc	user_options->hex_wordlist	0
TOP.656351d7.000e5cbc	user_options->hook_threads	8
TOP.656351d7.000e5cbc	user_options->identify	0
TOP.656351d7.000e5cbc	user_options->increment	0
TOP.656351d7.000e5cbc	user_options->increment_max	256
TOP.656351d7.000e5cbc	user_options->increment_min	1
TOP.656351d7.000e5cbc	user_options->keep_guessing	0
TOP.656351d7.000e5cbc	user_options->kernel_accel	0
TOP.656351d7.000e5cbc	user_options->kernel_loops	0
TOP.656351d7.000e5cbc	user_options->kernel_threads	0
TOP.656351d7.000e5cbc	user_options->keyspace	0
TOP.656351d7.000e5cbc	user_options->left	0
TOP.656351d7.000e5cbc	user_options->logfile_disable	0
TOP.656351d7.000e5cbc	user_options->loopback	0
TOP.656351d7.000e5cbc	user_options->machine_readable	0
TOP.656351d7.000e5cbc	user_options->markov_classic	0
TOP.656351d7.000e5cbc	user_options->markov_disable	0
TOP.656351d7.000e5cbc	user_options->markov_inverse	0
TOP.656351d7.000e5cbc	user_options->markov_threshold	256
TOP.656351d7.000e5cbc	user_options->multiply_accel_disable	0
TOP.656351d7.000e5cbc	user_options->backend_info	0
TOP.656351d7.000e5cbc	user_options->backend_vector_width	0
TOP.656351d7.000e5cbc	user_options->optimized_kernel_enable	0
TOP.656351d7.000e5cbc	user_options->outfile_autohex	1
TOP.656351d7.000e5cbc	user_options->outfile_check_timer	5
TOP.656351d7.000e5cbc	user_options->outfile_format	3
TOP.656351d7.000e5cbc	user_options->wordlist_autohex_disable	0
TOP.656351d7.000e5cbc	user_options->potfile_disable	0
TOP.656351d7.000e5cbc	user_options->progress_only	0
TOP.656351d7.000e5cbc	user_options->quiet	0
TOP.656351d7.000e5cbc	user_options->remove	0
TOP.656351d7.000e5cbc	user_options->remove_timer	60
TOP.656351d7.000e5cbc	user_options->restore	0
TOP.656351d7.000e5cbc	user_options->restore_disable	0
TOP.656351d7.000e5cbc	user_options->restore_timer	1
TOP.656351d7.000e5cbc	user_options->rp_files_cnt	0
TOP.656351d7.000e5cbc	user_options->rp_gen	0
TOP.656351d7.000e5cbc	user_options->rp_gen_func_max	4
TOP.656351d7.000e5cbc	user_options->rp_gen_func_min	1
TOP.656351d7.000e5cbc	user_options->rp_gen_seed	0
TOP.656351d7.000e5cbc	user_options->runtime	0
TOP.656351d7.000e5cbc	user_options->scrypt_tmto	0
TOP.656351d7.000e5cbc	user_options->segment_size	33554432
TOP.656351d7.000e5cbc	user_options->self_test_disable	0
TOP.656351d7.000e5cbc	user_options->slow_candidates	0
TOP.656351d7.000e5cbc	user_options->show	0
TOP.656351d7.000e5cbc	user_options->speed_only	0
TOP.656351d7.000e5cbc	user_options->spin_damp	0
TOP.656351d7.000e5cbc	user_options->status	1
TOP.656351d7.000e5cbc	user_options->status_json	0
TOP.656351d7.000e5cbc	user_options->status_timer	10
TOP.656351d7.000e5cbc	user_options->stdout_flag	0
TOP.656351d7.000e5cbc	user_options->usage	0
TOP.656351d7.000e5cbc	user_options->username	0
TOP.656351d7.000e5cbc	user_options->veracrypt_pim_start	485
TOP.656351d7.000e5cbc	user_options->veracrypt_pim_stop	485
TOP.656351d7.000e5cbc	user_options->version	0
TOP.656351d7.000e5cbc	user_options->workload_profile	2
TOP.656351d7.000e5cbc	user_options->brain_client	0
TOP.656351d7.000e5cbc	user_options->brain_client_features	2
TOP.656351d7.000e5cbc	user_options->brain_server	0
TOP.656351d7.000e5cbc	user_options->brain_server_timer	300
TOP.656351d7.000e5cbc	user_options->brain_port	6863
TOP.656351d7.000e5cbc	user_options->brain_session	0
TOP.656351d7.000e5cbc	hashes->hashfile	.\crackme.txt
TOP.656351d7.000e5cbc	hashes->hashlist_mode	5
TOP.656351d7.000e5cbc	hashes->hashlist_format	0
TOP.656351d7.000e5cbc	hashes->hashes_cnt	0
TOP.656351d7.000e5cbc	hashes->digests_cnt	10
TOP.656351d7.000e5cbc	hashes->digests_done_pot	0
TOP.656351d7.000e5cbc	hashes->digests_done_zero	0
TOP.656351d7.000e5cbc	hashes->digests_done	0
TOP.656351d7.000e5cbc	hashes->salts_cnt	1
TOP.656351d7.000e5cbc	hashes->salts_done	0
TOP.65635260.000eda0d	START
TOP.65635260.000eda0d	folder_config->cwd	C:\Users\vtimashkov\Desktop\Kerberoasting\examples\hashcat-6.2.6
TOP.65635260.000eda0d	folder_config->install_dir	.
TOP.65635260.000eda0d	folder_config->profile_dir	.
TOP.65635260.000eda0d	folder_config->session_dir	.
TOP.65635260.000eda0d	folder_config->shared_dir	.
TOP.65635260.000eda0d	user_options->encoding_from	utf-8
TOP.65635260.000eda0d	user_options->encoding_to	utf-8
TOP.65635260.000eda0d	user_options->rule_buf_l	:
TOP.65635260.000eda0d	user_options->rule_buf_r	:
TOP.65635260.000eda0d	user_options->session	hashcat
TOP.65635260.000eda0d	user_options->separator	:
TOP.65635260.000eda0d	user_options->limit	0
TOP.65635260.000eda0d	user_options->skip	0
TOP.65635260.000eda0d	user_options->attack_mode	0
TOP.65635260.000eda0d	user_options->benchmark	0
TOP.65635260.000eda0d	user_options->benchmark_all	0
TOP.65635260.000eda0d	user_options->bitmap_max	18
TOP.65635260.000eda0d	user_options->bitmap_min	16
TOP.65635260.000eda0d	user_options->debug_mode	0
TOP.65635260.000eda0d	user_options->hash_info	0
TOP.65635260.000eda0d	user_options->force	0
TOP.65635260.000eda0d	user_options->hwmon_disable	0
TOP.65635260.000eda0d	user_options->hwmon_temp_abort	90
TOP.65635260.000eda0d	user_options->hash_mode	0
TOP.65635260.000eda0d	user_options->hex_charset	0
TOP.65635260.000eda0d	user_options->hex_salt	0
TOP.65635260.000eda0d	user_options->hex_wordlist	0
TOP.65635260.000eda0d	user_options->hook_threads	8
TOP.65635260.000eda0d	user_options->identify	0
TOP.65635260.000eda0d	user_options->increment	0
TOP.65635260.000eda0d	user_options->increment_max	256
TOP.65635260.000eda0d	user_options->increment_min	1
TOP.65635260.000eda0d	user_options->keep_guessing	0
TOP.65635260.000eda0d	user_options->kernel_accel	0
TOP.65635260.000eda0d	user_options->kernel_loops	0
TOP.65635260.000eda0d	user_options->kernel_threads	0
TOP.65635260.000eda0d	user_options->keyspace	0
TOP.65635260.000eda0d	user_options->left	0
TOP.65635260.000eda0d	user_options->logfile_disable	0
TOP.65635260.000eda0d	user_options->loopback	0
TOP.65635260.000eda0d	user_options->machine_readable	0
TOP.65635260.000eda0d	user_options->markov_classic	0
TOP.65635260.000eda0d	user_options->markov_disable	0
TOP.65635260.000eda0d	user_options->markov_inverse	0
TOP.65635260.000eda0d	user_options->markov_threshold	256
TOP.65635260.000eda0d	user_options->multiply_accel_disable	0
TOP.65635260.000eda0d	user_options->backend_info	0
TOP.65635260.000eda0d	user_options->backend_vector_width	0
TOP.65635260.000eda0d	user_options->optimized_kernel_enable	0
TOP.65635260.000eda0d	user_options->outfile_autohex	1
TOP.65635260.000eda0d	user_options->outfile_check_timer	5
TOP.65635260.000eda0d	user_options->outfile_format	3
TOP.65635260.000eda0d	user_options->wordlist_autohex_disable	0
TOP.65635260.000eda0d	user_options->potfile_disable	0
TOP.65635260.000eda0d	user_options->progress_only	0
TOP.65635260.000eda0d	user_options->quiet	0
TOP.65635260.000eda0d	user_options->remove	0
TOP.65635260.000eda0d	user_options->remove_timer	60
TOP.65635260.000eda0d	user_options->restore	0
TOP.65635260.000eda0d	user_options->restore_disable	0
TOP.65635260.000eda0d	user_options->restore_timer	1
TOP.65635260.000eda0d	user_options->rp_files_cnt	0
TOP.65635260.000eda0d	user_options->rp_gen	0
TOP.65635260.000eda0d	user_options->rp_gen_func_max	4
TOP.65635260.000eda0d	user_options->rp_gen_func_min	1
TOP.65635260.000eda0d	user_options->rp_gen_seed	0
TOP.65635260.000eda0d	user_options->runtime	0
TOP.65635260.000eda0d	user_options->scrypt_tmto	0
TOP.65635260.000eda0d	user_options->segment_size	33554432
TOP.65635260.000eda0d	user_options->self_test_disable	0
TOP.65635260.000eda0d	user_options->slow_candidates	0
TOP.65635260.000eda0d	user_options->show	0
TOP.65635260.000eda0d	user_options->speed_only	0
TOP.65635260.000eda0d	user_options->spin_damp	0
TOP.65635260.000eda0d	user_options->status	0
TOP.65635260.000eda0d	user_options->status_json	0
TOP.65635260.000eda0d	user_options->status_timer	10
TOP.65635260.000eda0d	user_options->stdout_flag	0
TOP.65635260.000eda0d	user_options->usage	0
TOP.65635260.000eda0d	user_options->username	0
TOP.65635260.000eda0d	user_options->veracrypt_pim_start	485
TOP.65635260.000eda0d	user_options->veracrypt_pim_stop	485
TOP.65635260.000eda0d	user_options->version	0
TOP.65635260.000eda0d	user_options->workload_profile	2
TOP.65635260.000eda0d	user_options->brain_client	0
TOP.65635260.000eda0d	user_options->brain_client_features	2
TOP.65635260.000eda0d	user_options->brain_server	0
TOP.65635260.000eda0d	user_options->brain_server_timer	300
TOP.65635260.000eda0d	user_options->brain_port	6863
TOP.65635260.000eda0d	user_options->brain_session	0
TOP.6563527a.00092f06	START
TOP.6563527a.00092f06	folder_config->cwd	C:\Users\vtimashkov\Desktop\Kerberoasting\examples\hashcat-6.2.6
TOP.6563527a.00092f06	folder_config->install_dir	.
TOP.6563527a.00092f06	folder_config->profile_dir	.
TOP.6563527a.00092f06	folder_config->session_dir	.
TOP.6563527a.00092f06	folder_config->shared_dir	.
TOP.6563527a.00092f06	user_options->encoding_from	utf-8
TOP.6563527a.00092f06	user_options->encoding_to	utf-8
TOP.6563527a.00092f06	user_options->rule_buf_l	:
TOP.6563527a.00092f06	user_options->rule_buf_r	:
TOP.6563527a.00092f06	user_options->session	hashcat
TOP.6563527a.00092f06	user_options->separator	:
TOP.6563527a.00092f06	user_options->limit	0
TOP.6563527a.00092f06	user_options->skip	0
TOP.6563527a.00092f06	user_options->attack_mode	0
TOP.6563527a.00092f06	user_options->benchmark	0
TOP.6563527a.00092f06	user_options->benchmark_all	0
TOP.6563527a.00092f06	user_options->bitmap_max	18
TOP.6563527a.00092f06	user_options->bitmap_min	16
TOP.6563527a.00092f06	user_options->debug_mode	0
TOP.6563527a.00092f06	user_options->hash_info	0
TOP.6563527a.00092f06	user_options->force	0
TOP.6563527a.00092f06	user_options->hwmon_disable	0
TOP.6563527a.00092f06	user_options->hwmon_temp_abort	90
TOP.6563527a.00092f06	user_options->hash_mode	24900
TOP.6563527a.00092f06	user_options->hex_charset	0
TOP.6563527a.00092f06	user_options->hex_salt	0
TOP.6563527a.00092f06	user_options->hex_wordlist	0
TOP.6563527a.00092f06	user_options->hook_threads	8
TOP.6563527a.00092f06	user_options->identify	0
TOP.6563527a.00092f06	user_options->increment	0
TOP.6563527a.00092f06	user_options->increment_max	256
TOP.6563527a.00092f06	user_options->increment_min	1
TOP.6563527a.00092f06	user_options->keep_guessing	0
TOP.6563527a.00092f06	user_options->kernel_accel	0
TOP.6563527a.00092f06	user_options->kernel_loops	0
TOP.6563527a.00092f06	user_options->kernel_threads	0
TOP.6563527a.00092f06	user_options->keyspace	0
TOP.6563527a.00092f06	user_options->left	0
TOP.6563527a.00092f06	user_options->logfile_disable	0
TOP.6563527a.00092f06	user_options->loopback	0
TOP.6563527a.00092f06	user_options->machine_readable	0
TOP.6563527a.00092f06	user_options->markov_classic	0
TOP.6563527a.00092f06	user_options->markov_disable	0
TOP.6563527a.00092f06	user_options->markov_inverse	0
TOP.6563527a.00092f06	user_options->markov_threshold	256
TOP.6563527a.00092f06	user_options->multiply_accel_disable	0
TOP.6563527a.00092f06	user_options->backend_info	0
TOP.6563527a.00092f06	user_options->backend_vector_width	0
TOP.6563527a.00092f06	user_options->optimized_kernel_enable	0
TOP.6563527a.00092f06	user_options->outfile_autohex	1
TOP.6563527a.00092f06	user_options->outfile_check_timer	5
TOP.6563527a.00092f06	user_options->outfile_format	3
TOP.6563527a.00092f06	user_options->wordlist_autohex_disable	0
TOP.6563527a.00092f06	user_options->potfile_disable	0
TOP.6563527a.00092f06	user_options->progress_only	0
TOP.6563527a.00092f06	user_options->quiet	0
TOP.6563527a.00092f06	user_options->remove	0
TOP.6563527a.00092f06	user_options->remove_timer	60
TOP.6563527a.00092f06	user_options->restore	0
TOP.6563527a.00092f06	user_options->restore_disable	0
TOP.6563527a.00092f06	user_options->restore_timer	1
TOP.6563527a.00092f06	user_options->rp_files_cnt	0
TOP.6563527a.00092f06	user_options->rp_gen	0
TOP.6563527a.00092f06	user_options->rp_gen_func_max	4
TOP.6563527a.00092f06	user_options->rp_gen_func_min	1
TOP.6563527a.00092f06	user_options->rp_gen_seed	0
TOP.6563527a.00092f06	user_options->runtime	0
TOP.6563527a.00092f06	user_options->scrypt_tmto	0
TOP.6563527a.00092f06	user_options->segment_size	33554432
TOP.6563527a.00092f06	user_options->self_test_disable	0
TOP.6563527a.00092f06	user_options->slow_candidates	0
TOP.6563527a.00092f06	user_options->show	0
TOP.6563527a.00092f06	user_options->speed_only	0
TOP.6563527a.00092f06	user_options->spin_damp	0
TOP.6563527a.00092f06	user_options->status	0
TOP.6563527a.00092f06	user_options->status_json	0
TOP.6563527a.00092f06	user_options->status_timer	10
TOP.6563527a.00092f06	user_options->stdout_flag	0
TOP.6563527a.00092f06	user_options->usage	0
TOP.6563527a.00092f06	user_options->username	0
TOP.6563527a.00092f06	user_options->veracrypt_pim_start	485
TOP.6563527a.00092f06	user_options->veracrypt_pim_stop	485
TOP.6563527a.00092f06	user_options->version	0
TOP.6563527a.00092f06	user_options->workload_profile	2
TOP.6563527a.00092f06	user_options->brain_client	0
TOP.6563527a.00092f06	user_options->brain_client_features	2
TOP.6563527a.00092f06	user_options->brain_server	0
TOP.6563527a.00092f06	user_options->brain_server_timer	300
TOP.6563527a.00092f06	user_options->brain_port	6863
TOP.6563527a.00092f06	user_options->brain_session	0
TOP.6563527a.00092f06	hashes->hashfile	.\wordlist.txt
TOP.6563527a.00092f06	hashes->hashlist_mode	5
TOP.6563527a.00092f06	hashes->hashlist_format	0
TOP.6563527a.00092f06	hashes->hashes_cnt	0
TOP.6563527a.00092f06	hashes->digests_cnt	46
TOP.6563527a.00092f06	hashes->digests_done_pot	0
TOP.6563527a.00092f06	hashes->digests_done_zero	0
TOP.6563527a.00092f06	hashes->digests_done	0
TOP.6563527a.00092f06	hashes->salts_cnt	1
TOP.6563527a.00092f06	hashes->salts_done	0
TOP.6563528c.0006b2e9	START
TOP.6563528c.0006b2e9	folder_config->cwd	C:\Users\vtimashkov\Desktop\Kerberoasting\examples\hashcat-6.2.6
TOP.6563528c.0006b2e9	folder_config->install_dir	.
TOP.6563528c.0006b2e9	folder_config->profile_dir	.
TOP.6563528c.0006b2e9	folder_config->session_dir	.
TOP.6563528c.0006b2e9	folder_config->shared_dir	.
TOP.6563528c.0006b2e9	user_options->encoding_from	utf-8
TOP.6563528c.0006b2e9	user_options->encoding_to	utf-8
TOP.6563528c.0006b2e9	user_options->rule_buf_l	:
TOP.6563528c.0006b2e9	user_options->rule_buf_r	:
TOP.6563528c.0006b2e9	user_options->session	hashcat
TOP.6563528c.0006b2e9	user_options->separator	:
TOP.6563528c.0006b2e9	user_options->limit	0
TOP.6563528c.0006b2e9	user_options->skip	0
TOP.6563528c.0006b2e9	user_options->attack_mode	0
TOP.6563528c.0006b2e9	user_options->benchmark	0
TOP.6563528c.0006b2e9	user_options->benchmark_all	0
TOP.6563528c.0006b2e9	user_options->bitmap_max	18
TOP.6563528c.0006b2e9	user_options->bitmap_min	16
TOP.6563528c.0006b2e9	user_options->debug_mode	0
TOP.6563528c.0006b2e9	user_options->hash_info	0
TOP.6563528c.0006b2e9	user_options->force	0
TOP.6563528c.0006b2e9	user_options->hwmon_disable	0
TOP.6563528c.0006b2e9	user_options->hwmon_temp_abort	90
TOP.6563528c.0006b2e9	user_options->hash_mode	0
TOP.6563528c.0006b2e9	user_options->hex_charset	0
TOP.6563528c.0006b2e9	user_options->hex_salt	0
TOP.6563528c.0006b2e9	user_options->hex_wordlist	0
TOP.6563528c.0006b2e9	user_options->hook_threads	8
TOP.6563528c.0006b2e9	user_options->identify	0
TOP.6563528c.0006b2e9	user_options->increment	0
TOP.6563528c.0006b2e9	user_options->increment_max	256
TOP.6563528c.0006b2e9	user_options->increment_min	1
TOP.6563528c.0006b2e9	user_options->keep_guessing	0
TOP.6563528c.0006b2e9	user_options->kernel_accel	0
TOP.6563528c.0006b2e9	user_options->kernel_loops	0
TOP.6563528c.0006b2e9	user_options->kernel_threads	0
TOP.6563528c.0006b2e9	user_options->keyspace	0
TOP.6563528c.0006b2e9	user_options->left	0
TOP.6563528c.0006b2e9	user_options->logfile_disable	0
TOP.6563528c.0006b2e9	user_options->loopback	0
TOP.6563528c.0006b2e9	user_options->machine_readable	0
TOP.6563528c.0006b2e9	user_options->markov_classic	0
TOP.6563528c.0006b2e9	user_options->markov_disable	0
TOP.6563528c.0006b2e9	user_options->markov_inverse	0
TOP.6563528c.0006b2e9	user_options->markov_threshold	256
TOP.6563528c.0006b2e9	user_options->multiply_accel_disable	0
TOP.6563528c.0006b2e9	user_options->backend_info	0
TOP.6563528c.0006b2e9	user_options->backend_vector_width	0
TOP.6563528c.0006b2e9	user_options->optimized_kernel_enable	0
TOP.6563528c.0006b2e9	user_options->outfile_autohex	1
TOP.6563528c.0006b2e9	user_options->outfile_check_timer	5
TOP.6563528c.0006b2e9	user_options->outfile_format	3
TOP.6563528c.0006b2e9	user_options->wordlist_autohex_disable	0
TOP.6563528c.0006b2e9	user_options->potfile_disable	0
TOP.6563528c.0006b2e9	user_options->progress_only	0
TOP.6563528c.0006b2e9	user_options->quiet	0
TOP.6563528c.0006b2e9	user_options->remove	0
TOP.6563528c.0006b2e9	user_options->remove_timer	60
TOP.6563528c.0006b2e9	user_options->restore	0
TOP.6563528c.0006b2e9	user_options->restore_disable	0
TOP.6563528c.0006b2e9	user_options->restore_timer	1
TOP.6563528c.0006b2e9	user_options->rp_files_cnt	0
TOP.6563528c.0006b2e9	user_options->rp_gen	0
TOP.6563528c.0006b2e9	user_options->rp_gen_func_max	4
TOP.6563528c.0006b2e9	user_options->rp_gen_func_min	1
TOP.6563528c.0006b2e9	user_options->rp_gen_seed	0
TOP.6563528c.0006b2e9	user_options->runtime	0
TOP.6563528c.0006b2e9	user_options->scrypt_tmto	0
TOP.6563528c.0006b2e9	user_options->segment_size	33554432
TOP.6563528c.0006b2e9	user_options->self_test_disable	0
TOP.6563528c.0006b2e9	user_options->slow_candidates	0
TOP.6563528c.0006b2e9	user_options->show	0
TOP.6563528c.0006b2e9	user_options->speed_only	0
TOP.6563528c.0006b2e9	user_options->spin_damp	0
TOP.6563528c.0006b2e9	user_options->status	1
TOP.6563528c.0006b2e9	user_options->status_json	0
TOP.6563528c.0006b2e9	user_options->status_timer	10
TOP.6563528c.0006b2e9	user_options->stdout_flag	0
TOP.6563528c.0006b2e9	user_options->usage	0
TOP.6563528c.0006b2e9	user_options->username	0
TOP.6563528c.0006b2e9	user_options->veracrypt_pim_start	485
TOP.6563528c.0006b2e9	user_options->veracrypt_pim_stop	485
TOP.6563528c.0006b2e9	user_options->version	0
TOP.6563528c.0006b2e9	user_options->workload_profile	2
TOP.6563528c.0006b2e9	user_options->brain_client	0
TOP.6563528c.0006b2e9	user_options->brain_client_features	2
TOP.6563528c.0006b2e9	user_options->brain_server	0
TOP.6563528c.0006b2e9	user_options->brain_server_timer	300
TOP.6563528c.0006b2e9	user_options->brain_port	6863
TOP.6563528c.0006b2e9	user_options->brain_session	0
TOP.6563528c.0006b2e9	hashes->hashfile	.\john-hashcat-crackfile.txt
TOP.6563528c.0006b2e9	hashes->hashlist_mode	5
TOP.6563528c.0006b2e9	hashes->hashlist_format	0
TOP.6563528c.0006b2e9	hashes->hashes_cnt	0
TOP.6563528c.0006b2e9	hashes->digests_cnt	1
TOP.6563528c.0006b2e9	hashes->digests_done_pot	0
TOP.6563528c.0006b2e9	hashes->digests_done_zero	0
TOP.6563528c.0006b2e9	hashes->digests_done	0
TOP.6563528c.0006b2e9	hashes->salts_cnt	1
TOP.6563528c.0006b2e9	hashes->salts_done	0
TOP.6563528c.0006b2e9	SUB.65635296.000c1990	START
TOP.656352de.000a5f07	START
TOP.656352de.000a5f07	folder_config->cwd	C:\Users\vtimashkov\Desktop\Kerberoasting\examples\hashcat-6.2.6
TOP.656352de.000a5f07	folder_config->install_dir	.
TOP.656352de.000a5f07	folder_config->profile_dir	.
TOP.656352de.000a5f07	folder_config->session_dir	.
TOP.656352de.000a5f07	folder_config->shared_dir	.
TOP.656352de.000a5f07	user_options->encoding_from	utf-8
TOP.656352de.000a5f07	user_options->encoding_to	utf-8
TOP.656352de.000a5f07	user_options->rule_buf_l	:
TOP.656352de.000a5f07	user_options->rule_buf_r	:
TOP.656352de.000a5f07	user_options->session	hashcat
TOP.656352de.000a5f07	user_options->separator	:
TOP.656352de.000a5f07	user_options->limit	0
TOP.656352de.000a5f07	user_options->skip	0
TOP.656352de.000a5f07	user_options->attack_mode	0
TOP.656352de.000a5f07	user_options->benchmark	0
TOP.656352de.000a5f07	user_options->benchmark_all	0
TOP.656352de.000a5f07	user_options->bitmap_max	18
TOP.656352de.000a5f07	user_options->bitmap_min	16
TOP.656352de.000a5f07	user_options->debug_mode	0
TOP.656352de.000a5f07	user_options->hash_info	0
TOP.656352de.000a5f07	user_options->force	0
TOP.656352de.000a5f07	user_options->hwmon_disable	0
